Common name,PROTEIN,ASH,FAT,DIETARY-FIBRE,CARBOHYDRATE,ENERGY,THIAMINE,RIBOFLAVIN,NIACIN,PANTAC,VITAMIN B6,VITAMIN B7,VITAMIN B9,VITAMIN C,ALUMINIUM,CALCIUM,COPPER,IRON,MAGNESIUM,MANGANESE,NICKEL,PHOSPHOR,POTASSIUM,SODIUM,ZINC
Agathi leaves,8.01,2.42,1.35,8.6,5.21,295,0.26,0.33,1.18,0.53,0.22,7.75,76.44,121,0.01,450.5,0.125,4.36,96.64,1.24,0.068,52.52,674,18.12,0.53
Allathi,21.77,1.06,0.98,0.01,0.01,406,0.08,0.04,3.67,0.72,194,0.01,438.44,0.01,0.01,6.89,0.015,0.62,29.08,0.01,0.004,215,286,32.68,0.3
Almond,18.45,1.375,29.265,6.685,1.64,1276.5,0.087,0.153,1.975,0.41,0.048,1.37,308.44,0.405,0.6,119.1,0.57,2.6,183.75,1.37,0.078,234.6,371.2,1.005,1.8
Aluva,21.91,0.735,1.155,0.01,0.01,225.5,0.03,0.01,1.425,0.43,83.25,0.01,439.44,0.01,0.01,6.695,0.025,0.22,18.005,0.005,0.002,129.45,265.65,25.83,0.2
Amaranth leaves,3.673,1.802,0.423,3.215,1.81,93.833,0.007,0.168,0.457,0.273,0.144,1.877,78.44,58.548,2.467,158.7,0.127,4.337,128.85,1.273,0.021,51.955,427.833,11.515,0.875
Amaranth seed,14.1,2.228,4.342,5.4,45.505,1119.75,0.032,0.032,0.368,0.198,0.338,1.487,27.94,0.01,2.46,89.675,0.568,6.902,238.3,3.822,0.189,295.5,331.225,2.108,2.01
Amaranth spinosus,3.325,2.388,0.265,4.14,1.228,78.25,0.008,0.11,0.522,0.242,0.168,2.245,80.94,61.35,2.74,192.675,0.158,4.28,161.05,1.265,0.017,65.882,455.75,12.425,1.072
Anchovy,19.88,1.62,0.78,0.01,0.01,367,0.03,0.04,0.91,1.21,61.25,0.01,440.44,0.01,0.01,18.3,0.02,0.54,53,0.07,0.004,246,270,212,0.65
Apple,0.382,0.199,0.376,1.482,8.491,165,0.014,0.011,0.109,0.079,0.035,0.291,189.94,2.571,0.088,4.602,0.071,0.156,3.856,0.03,0.658,6.28,68.328,0.989,0.056
Apricot,2.54,1.092,0.363,1.012,21.178,394.5,0.078,0.023,0.73,0.255,0.072,0.875,192.94,2.573,0.9,9.68,0.232,1.027,5.188,0.103,0.037,26.758,97.05,1.42,0.185
